Expected value,0
"0","a"
"0","a"
"0",","
"0",","
"0",",o"
"0","O"
"0","O"
"0",","
"0","D"
"0","a"
"0",","
"0","N"
"0","a"
"0","N"
"0",","
"0","N"
"0",""""
"0",","
"0","a"
"0","D"
"0",""""
"0","N"
"0","D"
"0","a"
"0","a"
"0","o"
"0","No"
"0","."
"0","."
"0","D"
"0","."
"0","O"
"0","o"
"0","N"
"0","O"
"0","O"
"0",","
"0","D"
"0","O"
"0","N"
"0","O"
"0","O"
"0",","
"0","o"
"0","D"
"0","N"
"0","N"
"0","O"
"0","O"
"0",","
"0",","
"0","N"
"0","N"
"0","O"
"0",","
"0","D"
"0","a"
"0","O"
"0","D"
"0","."
"0","."
"0","o"
"0","s"
"0","a"
"0","."
"0","."
"0","."
"0","a"
"0",","
"0","."
"0","."
"0","o"
"0","."
"0","s"
"0","O"
"0","."
"0","o"
"0","a"
"0","D"
"0","."
"0","."
"0","."
"0","o"
"0","s"
"0",","
"0","D"
"0","D"
"0","s"
"0","O"
"0","o"
"0","."
"0","."
"0","."
"0","a"
"0","."
"0","s"
"0","a"
"0","o"
"0","o"
"0","o"
"0",","
"0","D"
"0","O"
"0","o"
"0","."
"0","s"
"0","o"
"0","."
"0","."
"0","o"
"0","a"
"0","o"
"0","h"
"0","o"
"0","."
"0",","
"0","o"
"0","."
"0","a"
"0","o"
"0","."
"0","h"
"0","a"
"0","."
"1","it"
"1","1"
"1","A"
"1","!"
"1","1"
"1","1"
"1","I"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","A"
"1","1"
"1","A"
"1","1"
"1","I"
"1","1"
"1","1."
"1","1"
"1","I"
"1","I"
"1","1"
"1","I"
"1","1"
"1","1"
"1","1"
"1","1"
"1","I"
"1","1"
"1","1"
"1","1"
"1","1"
"1","I"
"1","I"
"1","1"
"1","I"
"1","1t"
"1","1"
"1","1"
"1","1"
"1","1"
"1","I"
"1","A"
"1","A"
"1","1t"
"1","1"
"1","A."
"1","A"
"1","1"
"1","A"
"1","1"
"1","Ao"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","I"
"1","'"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1",")"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","I"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"1","1"
"2","?"
"2","2"
"2","?"
"2","?"
"2","a"
"2","?"
"2","?"
"2","?"
"2","?"
"2","2"
"2","?"
"2","?"
"2","?"
"2","2"
"2","?"
"2","2"
"2","?"
"2","?"
